robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,objective_loss,base_x,base_y,base_z,base_yaw,link_1,link_2,link_3,link_4,iteration,search_mode
simple_default_initial,11,528,1.0,1.0,0.000267,0.001679,0.985265,0.395326,0.05220435,0.01843743,0.0,0.00222455,0.00059582,1.08,0.07445799,0.0,0.0,0.0,0.0,0.3,0.34,0.28,0.16,0,base_only
simple_default_candidate_0000,11,528,1.0,1.0,0.000313,0.001988,0.860783,0.120237,0.04690149,0.00776867,0.0,0.00264784,0.0,1.08,0.07545322,0.150076,0.357492,0.12411,-1.726574,0.3,0.34,0.28,0.16,1,base_only
simple_default_candidate_0001,11,528,0.918561,0.727273,0.006025,0.140856,0.743591,0.078547,0.06391593,1.4e-07,0.035985,0.00326972,1.059e-05,1.08,0.88421997,-0.109867,0.336198,0.000842,2.018338,0.3,0.34,0.28,0.16,2,base_only
simple_default_candidate_0002,11,528,0.939394,0.909091,0.005506,0.110931,0.391032,0.0,0.02592733,0.0035878,0.005682,0.03231522,0.0,1.08,0.70024361,0.287656,-0.028859,0.048485,-1.392193,0.3,0.34,0.28,0.16,3,base_only
simple_default_candidate_0003,11,528,0.835227,0.545455,0.010492,0.148856,1.500543,0.692678,0.05700358,7e-08,0.126894,0.00387006,0.0,1.08,1.71946595,-0.146104,-0.049431,0.080728,0.336134,0.3,0.34,0.28,0.16,4,base_only
simple_default_candidate_0004,11,528,0.969697,0.909091,0.000818,0.016172,0.505565,0.0,0.02726687,0.00350404,0.00947,0.00838888,0.0,1.08,0.39412264,0.4464,0.263396,0.099549,3.072227,0.3,0.34,0.28,0.16,5,base_only
simple_default_candidate_0005,11,528,0.630682,0.090909,0.058893,0.393326,0.213939,0.0,0.04479203,0.00020709,0.011364,0.00692819,2.103e-05,1.08,3.76989337,-0.177753,-0.305809,0.098006,-2.865497,0.3,0.34,0.28,0.16,6,base_only
simple_default_candidate_0006,11,528,0.666667,0.363636,0.04784,0.315529,0.627887,0.0,0.05223551,0.00100494,0.113636,0.00762838,0.0,1.08,3.40685512,-0.321456,0.0134,0.074593,2.621142,0.3,0.34,0.28,0.16,7,base_only
simple_default_candidate_0007,11,528,0.901515,0.727273,0.00575,0.100244,0.539869,0.0,0.03316043,0.00321109,0.037879,0.0033847,0.0,1.08,1.06917475,0.153381,0.012706,0.0795,-1.586411,0.3,0.34,0.28,0.16,8,base_only
simple_default_candidate_0008,11,528,0.352273,0.0,0.10878,0.390564,0.777437,0.522429,0.02677946,0.00028108,0.193182,0.00870978,0.0,1.08,6.56904615,-0.340565,-0.276838,0.110725,-1.881143,0.3,0.34,0.28,0.16,9,base_only
