robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
simple_default,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,demo_10,40,0.975,0,0.000832,0.010342,0.266404,0.0,0.01416059,0.00369467,0.05,0.19036397,0.00055226,1.08
simple_default,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,demo_33,40,0.85,0,0.002445,0.023065,0.298943,0.0,0.01581023,0.003311,0.025,0.0204038,0.0008899,1.08
simple_default,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,demo_17,40,0.95,0,0.000754,0.004409,0.175805,0.0,0.00968321,0.00401713,0.0,0.03696477,0.00043277,1.08
simple_default,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo,demo_22,40,0.975,0,0.000669,0.002039,0.152057,0.0,0.00888705,0.00321989,0.025,0.03537829,0.00059527,1.08
simple_default,libero_object,pick_up_the_butter_and_place_it_in_the_basket_demo,demo_17,40,1.0,1,0.000541,0.001919,0.348021,0.0,0.01732385,0.0048138,0.0,0.36058078,0.00049336,1.08
simple_default,libero_object,pick_up_the_butter_and_place_it_in_the_basket_demo,demo_44,40,1.0,1,0.000538,0.001824,0.390455,0.0,0.01967748,0.0050517,0.0,0.34577324,0.00059697,1.08
simple_default,libero_object,pick_up_the_butter_and_place_it_in_the_basket_demo,demo_7,40,0.925,0,0.001124,0.009659,0.364427,0.0,0.01844059,0.00478647,0.0,0.39895941,0.00047684,1.08
simple_default,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,demo_39,40,0.975,0,0.000572,0.004852,0.259436,0.0,0.01084841,0.00520678,0.0,0.03035994,0.00521901,1.08
simple_default,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,demo_7,40,1.0,1,0.000418,0.001938,0.190217,0.0,0.0112011,0.00588162,0.0,0.02801526,0.00233029,1.08
simple_default,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket_demo,demo_36,40,0.9,0,0.001221,0.013476,0.247658,0.0,0.01507163,0.00370305,0.1,0.12787778,0.00135041,1.08
simple_default,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo,demo_1,40,0.95,0,0.001078,0.013599,0.371448,0.0,0.01792992,0.00388847,0.025,0.23261091,0.00066196,1.08
simple_default,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo,demo_36,40,0.95,0,0.000849,0.006592,0.262684,0.0,0.01524154,0.00324255,0.075,0.08879201,0.0012318,1.08
simple_default,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket_demo,demo_32,40,1.0,1,0.000759,0.00195,0.16507,0.0,0.01010404,0.00452602,0.0,0.03260521,0.0004103,1.08
simple_default,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket_demo,demo_6,40,0.95,0,0.000921,0.008468,0.182596,0.0,0.00998352,0.00386307,0.025,0.03244439,0.00022627,1.08
simple_default,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket_demo,demo_13,40,1.0,1,0.0006,0.001965,0.136868,0.0,0.01003446,0.00321231,0.05,0.03198655,0.00033741,1.08
