file,suite,task,demo,num_samples,target_frame,base_xyz,mean_position_error,max_position_error,p95_position_error,p99_position_error
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,138,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018567,0.00043364,0.00032511,0.00040551
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,138,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019804,0.00041503,0.00034442,0.00035413
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,130,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018024,0.00034919,0.00031921,0.0003367
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,127,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019521,0.0004062,0.00034304,0.00039587
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,138,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00017797,0.00041856,0.0003375,0.00035369
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,128,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00016602,0.00032988,0.00029109,0.00032164
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,128,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00020324,0.00056168,0.00038501,0.00051596
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,140,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0001779,0.00041469,0.00034676,0.00039787
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,185,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00022187,0.00050258,0.00046512,0.00048641
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,195,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019598,0.00045031,0.00035686,0.00044767
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_18,126,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0001902,0.00038439,0.00031153,0.00038199
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,127,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00017925,0.00034452,0.0003357,0.00034398
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_2,151,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0001905,0.00033487,0.00031871,0.00033118
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_20,116,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0001903,0.00036439,0.00034784,0.00036205
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_21,128,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018103,0.00033644,0.0003112,0.00033193
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_22,129,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018366,0.00046632,0.00030895,0.00040792
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,137,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019006,0.00038207,0.00032757,0.00037407
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_24,153,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00017928,0.00052985,0.00036016,0.00050841
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_25,160,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019432,0.00037293,0.00035176,0.00036767
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_26,128,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019162,0.00041424,0.00037916,0.00040695
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_27,156,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00016608,0.0005027,0.00026862,0.00047275
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,187,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00020285,0.00050128,0.00039415,0.0004781
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_29,146,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00017104,0.00040538,0.00031128,0.00038197
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_3,131,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018809,0.00037002,0.000347,0.00036621
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_30,136,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00017167,0.00029199,0.00026867,0.00028392
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_31,196,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019684,0.00042375,0.00038289,0.00041852
