robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
simple_default,500,39981,0.398564,0.0,0.060756,0.319505,0.860277,0.000174,0.00649871,0.0,0.625937,0.02283023,0.0,1.08,libero_goal
simple_default,500,40000,0.969625,0.304,0.00091,0.04121,0.2721,0.0,0.01390063,0.00221009,0.020225,0.08620782,0.00096138,1.08,libero_object
simple_default,500,39994,0.474896,0.0,0.053652,0.283819,0.982261,0.008488,0.01049578,2e-08,0.540519,0.01091762,0.0,1.08,libero_spatial
panda_proxy,500,39981,0.281859,0.0,0.083389,0.352913,0.833821,0.000456,0.00350139,0.0,0.748423,0.01409664,0.0,1.04,libero_goal
panda_proxy,500,40000,0.94575,0.0,0.003269,0.111208,0.323836,0.0,0.01277211,0.00027905,0.22245,0.21257532,3.161e-05,1.04,libero_object
panda_proxy,500,39994,0.347177,0.0,0.073701,0.31703,0.942991,0.001603,0.00512035,0.0,0.673587,0.01399187,0.0,1.04,libero_spatial
ur5_proxy,500,39981,0.548786,0.0,0.039611,0.281966,0.849089,3.7e-05,0.01428345,1e-08,0.455405,0.01600769,0.0,1.113,libero_goal
ur5_proxy,500,40000,0.973075,0.292,0.001245,0.205293,0.163026,0.0,0.01625926,0.00175675,0.009,0.06381547,0.02576786,1.113,libero_object
ur5_proxy,500,39994,0.59714,0.0,0.035209,0.245847,0.903512,0.010257,0.01984447,9e-08,0.409886,0.00869419,0.0,1.113,libero_spatial
xarm6_proxy,500,39981,0.069333,0.0,0.157943,0.44504,0.844952,0.000155,0.0007218,1e-08,0.995875,0.00301174,0.0,0.946,libero_goal
xarm6_proxy,500,40000,0.938375,0.0,0.003534,0.119151,0.291777,0.0,0.01127272,0.00091508,0.250375,0.22377331,0.000339,0.946,libero_object
xarm6_proxy,500,39994,0.008701,0.0,0.150877,0.409866,0.889383,0.00212,0.00073959,1e-08,0.999875,0.00052763,0.0,0.946,libero_spatial
