robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,80,0.4125,0,0.046218,0.159633,0.952194,0.697811,0.00280239,0.00022822,0.7,0.00458753,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,80,0.25,0,0.060274,0.140746,0.977405,0.619517,0.00196009,1.328e-05,0.775,0.02385882,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,80,0.425,0,0.032602,0.127524,0.979562,0.763357,0.00187389,2.4e-06,0.8,0.11162612,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,80,0.425,0,0.036114,0.142513,0.983772,0.79576,0.0029452,2.233e-05,0.625,0.01343533,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,80,0.3625,0,0.03953,0.13926,1.026378,0.790299,0.00181635,7.815e-05,0.8,0.01341559,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,0.375,0,0.054175,0.143223,1.051794,0.791431,0.00214272,0.00017846,0.7625,0.00225768,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,80,0.3,0,0.063228,0.152823,1.115365,0.781755,0.00254117,0.00013328,0.7,0.00437665,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,0.2875,0,0.050254,0.150579,1.1181,0.774219,0.00229249,0.00015825,0.7125,0.00560464,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,80,0.2375,0,0.04855,0.142211,1.029696,0.799689,0.00166373,1.314e-05,0.8125,0.06360808,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,80,0.5625,0,0.027409,0.134015,1.049449,0.769563,0.00337028,3.547e-05,0.7125,0.18634538,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_18,80,0.3375,0,0.043082,0.135254,1.000783,0.787253,0.00247669,0.00014887,0.675,0.00978786,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,0.5875,0,0.030718,0.149035,0.968918,0.635956,0.00382375,2.25e-06,0.5125,0.00845116,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_2,80,0.5,0,0.042224,0.138554,1.01776,0.793557,0.0028876,5.42e-06,0.6375,0.01370357,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_20,80,0.35,0,0.035041,0.123858,0.973762,0.797395,0.00303609,8.5e-07,0.6625,0.00487391,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_21,80,0.5125,0,0.031321,0.133174,0.982784,0.839297,0.00242757,8.26e-06,0.7,0.02697414,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_22,80,0.325,0,0.06172,0.142146,1.04458,0.77575,0.0032901,0.00020141,0.675,0.00118636,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,0.3625,0,0.03823,0.141984,0.988205,0.781915,0.00250419,1.988e-05,0.7625,0.02259231,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_24,80,0.25,0,0.05783,0.137905,0.798591,0.006433,0.00178891,0.00014876,0.8125,1.94429943,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_25,80,0.475,0,0.036782,0.148465,1.141867,0.777807,0.00267775,4.7e-06,0.7,0.00716869,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_26,80,0.3625,0,0.055456,0.150344,0.958994,0.756134,0.00299179,1.337e-05,0.6875,0.01775472,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_27,80,0.3,0,0.051588,0.145817,0.918728,0.723385,0.0025792,0.00015801,0.7125,0.00943555,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,0.25,0,0.03876,0.139364,0.998306,0.780754,0.00253864,1.57e-06,0.7625,0.01474619,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_29,80,0.5625,0,0.033436,0.137644,0.922389,0.718449,0.00451729,1.463e-05,0.475,0.0089296,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_3,80,0.275,0,0.053882,0.151423,0.810114,0.01708,0.00209733,0.0001877,0.7375,1.82626247,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_30,80,0.3,0,0.035876,0.142897,1.125838,0.770015,0.00225947,1.429e-05,0.7625,0.00384388,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_31,80,0.3125,0,0.040918,0.149774,1.01655,0.781866,0.00195887,0.00017648,0.75,0.0498233,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_32,80,0.5375,0,0.026798,0.145057,0.96805,0.565319,0.00326615,1.697e-05,0.5875,0.02240677,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_33,80,0.3,0,0.048693,0.152609,1.124745,0.805745,0.00264901,0.00026749,0.725,0.00425769,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_34,80,0.2625,0,0.067408,0.147963,1.136431,0.767485,0.00241925,0.00015195,0.7375,0.00530392,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_35,80,0.3875,0,0.034526,0.134944,1.157161,0.773194,0.00367128,0.00024038,0.6125,0.00637174,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_36,80,0.3625,0,0.037148,0.136132,0.958719,0.779716,0.0021772,1.911e-05,0.8125,0.00973903,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_37,80,0.4125,0,0.036305,0.134698,0.959629,0.677369,0.00254289,2.226e-05,0.7125,0.00161155,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_38,80,0.3125,0,0.036859,0.13604,1.014457,0.76959,0.0023118,1.599e-05,0.75,0.01819152,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_39,80,0.325,0,0.043881,0.131783,0.962904,0.799551,0.00229926,0.00035582,0.6875,0.00919281,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_4,80,0.2875,0,0.065598,0.14234,0.954581,0.765909,0.00191842,0.00021322,0.8125,0.01762911,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_40,80,0.2625,0,0.064628,0.141377,1.005294,0.689273,0.00190033,9.03e-06,0.775,0.00721508,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_41,80,0.2875,0,0.067367,0.140189,1.060632,0.800495,0.00223251,8.34e-06,0.725,0.01545092,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_42,80,0.425,0,0.047841,0.15192,0.932443,0.63224,0.00260497,1.773e-05,0.625,0.00467902,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_43,80,0.4125,0,0.037135,0.124741,0.959639,0.792059,0.00283385,1.493e-05,0.675,0.01331166,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_44,80,0.575,0,0.032224,0.141441,1.004402,0.769756,0.00300929,0.00025273,0.6375,0.00535223,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_45,80,0.3375,0,0.05041,0.132039,1.01048,0.766649,0.00242479,4.258e-05,0.6875,0.01982159,0.0,1.08
