robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,suite
simple_default,500,39981,0.922713,0.792,0.002894,0.101704,1.526215,0.628669,0.06503757,0.0,0.056053,0.00320633,0.0,1.08,libero_goal
simple_default,500,40000,0.999925,0.998,0.000378,0.006347,1.583622,0.954827,0.07770278,1.99e-06,0.0001,0.00167309,2.075e-05,1.08,libero_object
simple_default,500,39994,0.645397,0.02,0.01387,0.105098,1.869944,0.902173,0.04337651,0.0,0.251522,0.00725112,1.3e-07,1.08,libero_spatial
panda_proxy,500,39981,0.766439,0.434,0.014519,0.179253,1.738409,0.734701,0.04056248,1e-08,0.207611,0.00672016,1.36e-06,1.04,libero_goal
panda_proxy,500,40000,0.8752,0.416,0.002919,0.077745,1.872405,1.099778,0.04539587,0.0,0.114875,0.00467922,0.0,1.04,libero_object
panda_proxy,500,39994,0.439466,0.0,0.049652,0.182227,2.001869,1.006947,0.02357074,1e-08,0.482345,0.01111606,2e-08,1.04,libero_spatial
ur5_proxy,500,39981,1.0,1.0,0.000302,0.001999,1.097773,0.43095,0.11990201,0.04043695,0.0,0.00098314,0.0,1.113,libero_goal
ur5_proxy,500,40000,1.0,1.0,0.000333,0.002,1.149323,0.716565,0.1295591,0.07775852,0.0,0.00105064,0.05190691,1.113,libero_object
ur5_proxy,500,39994,1.0,1.0,0.000303,0.002,1.332777,0.610937,0.13701094,0.06099977,0.0,0.00113103,0.0,1.113,libero_spatial
xarm6_proxy,500,39981,0.724794,0.35,0.017171,0.183689,1.810245,0.716743,0.03474685,0.0,0.24541,0.00766659,0.0,0.946,libero_goal
xarm6_proxy,500,40000,0.78295,0.244,0.005138,0.095082,1.987525,1.115908,0.03554949,0.0,0.189175,0.00583166,1e-08,0.946,libero_object
xarm6_proxy,500,39994,0.404661,0.0,0.056288,0.189358,2.076663,1.035364,0.01995655,1e-08,0.517941,0.01277423,0.0,0.946,libero_spatial
