robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
simple_default,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,demo_10,40,0.8,0,0.006073,0.033198,1.904287,1.075282,0.0498324,0.0021557,0.175,0.0246151,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,demo_33,40,0.675,0,0.007008,0.029406,1.874158,1.025562,0.04770909,7.8e-07,0.3,0.01474354,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,demo_17,40,0.85,0,0.007832,0.06529,1.64474,1.020867,0.06506918,0.00131904,0.1,0.01633681,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,demo_22,40,0.675,0,0.010246,0.041053,1.780985,1.014253,0.051391,0.00156885,0.25,0.01474247,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,demo_17,40,0.575,0,0.014695,0.051025,2.148786,1.046225,0.03407353,2.52e-06,0.25,0.02665878,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,demo_44,40,0.425,0,0.01842,0.053245,2.19057,1.095372,0.02639005,0.00174205,0.175,0.02436317,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,demo_7,40,0.525,0,0.015462,0.052565,2.126873,1.086197,0.03148445,4.84e-05,0.3,0.02996418,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,demo_39,40,0.475,0,0.011238,0.039667,2.020822,1.04125,0.02718912,2.014e-05,0.4,0.0253229,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,demo_7,40,0.5,0,0.009595,0.03594,2.00485,1.040194,0.03125306,0.00097964,0.225,0.02866422,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,demo_36,40,0.7,0,0.020596,0.085589,1.768436,1.014473,0.05126067,0.00114003,0.2,0.01486147,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,demo_1,40,0.425,0,0.019605,0.076341,2.056825,1.007316,0.02370159,2.1e-07,0.475,0.02578569,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,demo_36,40,0.45,0,0.017567,0.069699,2.05237,1.058996,0.02917555,1.13e-06,0.4,0.0260766,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,demo_32,40,0.95,0,0.000971,0.005172,1.618708,1.020645,0.06157731,0.00028917,0.075,0.01413175,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo,demo_6,40,1.0,1,0.000682,0.001851,1.531228,1.023862,0.06837295,0.03401128,0.0,0.00749484,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,demo_13,40,0.75,0,0.007814,0.056419,1.509059,0.992144,0.05131302,0.00131128,0.175,0.01270444,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,demo_15,40,0.75,0,0.014157,0.065628,1.50354,0.935471,0.04841521,0.00114055,0.225,0.0183587,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,demo_35,40,0.8,0,0.008691,0.051693,1.397313,0.98036,0.05352522,0.00210024,0.175,0.0151313,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,demo_4,40,0.725,0,0.011837,0.053408,1.519824,0.975637,0.04810472,0.0009983,0.1,0.01914458,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo,demo_9,40,0.7,0,0.016801,0.069474,1.598076,1.003552,0.0477175,0.00060321,0.25,0.01420873,0.0,1.08
simple_default,libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo,demo_12,40,0.725,0,0.010911,0.051185,1.979245,1.040443,0.05108727,0.00094444,0.15,0.01164718,0.0,1.08
panda_proxy,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,demo_10,40,0.225,0,0.039012,0.109809,2.128282,1.233447,0.01483126,7.686e-05,0.675,0.03202075,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo,demo_33,40,0.45,0,0.038879,0.10685,2.11968,1.179427,0.01861886,8.927e-05,0.475,0.04040977,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,demo_17,40,0.825,0,0.020251,0.14278,1.834468,1.173328,0.0371621,0.00148506,0.175,0.038806,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo,demo_22,40,0.6,0,0.037884,0.118883,1.921164,1.163229,0.03066111,0.00031891,0.375,0.01294097,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,demo_17,40,0.2,0,0.064121,0.127864,2.224528,1.204521,0.01293156,0.00024018,0.575,0.09355959,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,demo_44,40,0.175,0,0.072018,0.130657,2.269487,1.256873,0.01112806,0.00020356,0.6,0.11267028,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo,demo_7,40,0.15,0,0.068064,0.129058,2.253197,1.246642,0.01092891,0.00036392,0.625,0.07941026,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,demo_39,40,0.25,0,0.065254,0.114939,2.08255,1.197643,0.01541784,0.00029205,0.75,0.04163691,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo,demo_7,40,0.275,0,0.060684,0.110146,2.082198,1.197585,0.01690062,0.00011006,0.7,0.03198808,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo,demo_36,40,0.625,0,0.046216,0.161624,1.927967,1.163766,0.02887019,0.00025191,0.375,0.01816193,0.0,1.04
panda_proxy,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo,demo_1,40,0.225,0,0.074837,0.153962,2.114574,1.160494,0.0153376,0.00022962,0.475,0.03450787,0.0,1.04
