robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,80,1.0,1,0.000277,0.001871,0.907291,0.550913,0.18789269,0.1205546,0.0,0.00332503,0.01659437,1.415762,0.1,0.001054,0.020439,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,80,1.0,1,0.000325,0.001774,0.84087,0.562277,0.18708277,0.11782857,0.0,0.00342259,0.01383195,1.415762,0.1,0.002758,0.059052,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,80,1.0,1,0.000309,0.001915,0.87009,0.495154,0.19339631,0.11856955,0.0,0.00307873,0.01505208,1.415762,0.1,0.001088,0.021692,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,80,1.0,1,0.000229,0.001671,0.878534,0.555902,0.1909714,0.12392693,0.0,0.00243329,0.01487302,1.415762,0.1,0.002073,0.038047,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,80,1.0,1,0.000271,0.001892,0.843888,0.521613,0.19053774,0.11900037,0.0,0.00321979,0.01403583,1.415762,0.1,0.003568,0.083173,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,1.0,1,0.000438,0.001966,0.844995,0.547242,0.18531041,0.12016104,0.0,0.00304979,0.017841,1.415762,0.1,0.005152,0.042652,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,80,1.0,1,0.000461,0.001881,0.802031,0.52725,0.18657589,0.12025836,0.0,0.00475804,0.01159155,1.415762,0.1,0.004112,0.047756,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,1.0,1,0.000374,0.001698,0.848832,0.517959,0.1887223,0.11882531,0.0,0.0044383,0.0149572,1.415762,0.1,0.004261,0.052827,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,80,1.0,1,0.000411,0.001807,0.852113,0.54279,0.18908771,0.1214802,0.0,0.00673088,0.01110208,1.415762,0.1,0.001391,0.045407,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,80,1.0,1,0.000405,0.001867,0.767863,0.541057,0.18180492,0.112849,0.0,0.00589755,0.01208009,1.415762,0.1,0.001624,0.053473,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_18,80,1.0,1,0.000233,0.001079,0.784303,0.449834,0.18502887,0.11998448,0.0,0.00281846,0.01570252,1.415762,0.1,0.000312,0.001358,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,1.0,1,0.000232,0.001572,0.930583,0.5571,0.18581271,0.12258353,0.0,0.00214722,0.01731714,1.415762,0.1,0.00182,0.045996,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_2,80,1.0,1,0.000502,0.001854,0.894938,0.576791,0.18937275,0.12167943,0.0,0.0065397,0.01230594,1.415762,0.1,0.00364,0.044939,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_20,80,1.0,1,0.000266,0.001733,0.824909,0.567372,0.19200223,0.12489393,0.0,0.00318821,0.01374635,1.415762,0.1,0.003363,0.064845,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_21,80,1.0,1,0.000172,0.001155,0.924373,0.55833,0.19416672,0.11763217,0.0,0.00213903,0.01803021,1.415762,0.1,0.002445,0.040652,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_22,80,1.0,1,0.000273,0.001525,0.93887,0.599975,0.18846304,0.12070996,0.0,0.0032594,0.01745685,1.415762,0.1,0.002606,0.04533,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,1.0,1,0.000238,0.001378,0.866053,0.544165,0.18993746,0.11542012,0.0,0.00231236,0.01719612,1.415762,0.1,0.001216,0.01888,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_24,80,1.0,1,0.000546,0.001888,0.784769,0.52168,0.18421447,0.11778511,0.0,0.00666248,0.01533137,1.415762,0.1,0.002872,0.047544,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_25,80,1.0,1,0.000403,0.001986,0.844718,0.556363,0.19403545,0.1190705,0.0,0.00477784,0.01562543,1.415762,0.1,0.002141,0.061893,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_26,80,1.0,1,0.000237,0.001414,0.890394,0.557509,0.18652526,0.12199962,0.0,0.00244063,0.01860519,1.415762,0.1,0.001928,0.045316,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_27,80,1.0,1,0.00034,0.001957,0.774635,0.487323,0.18113742,0.11531001,0.0,0.00409923,0.01176396,1.415762,0.1,0.001754,0.032751,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,1.0,1,0.000518,0.001686,0.819457,0.479028,0.18161737,0.11571231,0.0,0.00824777,0.01616507,1.415762,0.1,0.00198,0.030436,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_29,80,1.0,1,0.000327,0.001809,0.779416,0.566596,0.18496818,0.11833118,0.0,0.00505239,0.01161642,1.415762,0.1,0.002534,0.038946,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_3,80,1.0,1,0.000283,0.001814,0.904296,0.522809,0.19425631,0.12224692,0.0,0.00302279,0.01792362,1.415762,0.1,0.001554,0.039679,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_30,80,1.0,1,0.000257,0.001808,0.906139,0.577418,0.19329959,0.11978636,0.0,0.00270107,0.01575158,1.415762,0.1,0.001346,0.038203,1.0,1
panda_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_31,80,1.0,1,0.000689,0.001899,0.805575,0.395749,0.18330614,0.11515761,0.0,0.0090227,0.01027352,1.415762,0.1,0.002614,0.037488,1.0,1
