robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,80,0.6875,0,0.009961,0.049704,1.096427,0.583014,0.1377711,0.10756836,0.0,0.02186678,0.00122037,1.202873,0.1,0.01039,0.092345,0.6875,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,80,0.35,0,0.017269,0.056509,0.95454,0.501366,0.13611071,0.10495811,0.0,0.05620803,0.00111209,1.202873,0.1,0.020108,0.267175,0.35,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,80,0.875,0,0.002808,0.026566,1.145357,0.738273,0.14348543,0.10493804,0.0,0.01099923,0.00046887,1.202873,0.1,0.004266,0.056698,0.875,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,80,0.6125,0,0.00798,0.043449,1.048299,0.695197,0.14025046,0.10864091,0.0,0.0105896,0.00093178,1.202873,0.1,0.010832,0.090616,0.6125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,80,0.65,0,0.00692,0.030517,1.069748,0.669002,0.14162328,0.10575903,0.0,0.00839522,0.00073036,1.202873,0.1,0.013197,0.150356,0.65,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,0.4625,0,0.008305,0.028378,1.018289,0.677864,0.1349241,0.1066954,0.0,0.01610448,0.00091209,1.202873,0.1,0.00665,0.053127,0.4625,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,80,0.3,0,0.027236,0.065938,0.973797,0.586006,0.13695094,0.10722504,0.0,0.02893008,0.00135956,1.202873,0.1,0.097592,0.834802,0.3,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,0.6125,0,0.014963,0.060573,1.123085,0.68894,0.14181212,0.10635627,0.0,0.01714044,0.00099577,1.202873,0.1,0.043217,0.509331,0.6125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,80,0.2875,0,0.032131,0.089584,0.958743,0.612905,0.1369985,0.10764492,0.0,0.07000389,0.00081419,1.202873,0.1,0.040518,0.370975,0.2875,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,80,0.725,0,0.007323,0.047253,0.964504,0.31051,0.13990249,0.10196033,0.0,0.03275686,0.00056481,1.202873,0.1,0.031845,0.334359,0.725,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_18,80,0.475,0,0.022401,0.086038,1.04018,0.683753,0.13922019,0.10631782,0.0,0.00842223,0.00064867,1.202873,0.1,0.025717,0.199211,0.475,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,1.0,1,0.000363,0.001723,1.267266,1.008688,0.13952334,0.10838089,0.0,0.00353577,0.00080868,1.202873,0.1,0.001896,0.046119,1.0,1
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_2,80,0.65,0,0.023307,0.094436,1.16971,0.6809,0.14191931,0.10764579,0.0,0.01996626,0.00222376,1.202873,0.1,0.070363,0.385991,0.65,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_20,80,0.6375,0,0.0084,0.038845,1.026786,0.552606,0.14194472,0.10892788,0.0,0.03018111,0.00047264,1.202873,0.1,0.028995,0.35595,0.6375,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_21,80,1.0,1,0.000371,0.001428,1.243301,0.95645,0.14859758,0.10463663,0.0,0.0040262,0.00062164,1.202873,0.1,0.002545,0.040802,1.0,1
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_22,80,0.7375,0,0.01053,0.057752,1.116765,0.520049,0.14031105,0.10668701,0.0,0.02693603,0.00126469,1.202873,0.1,0.019297,0.169585,0.7375,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,0.625,0,0.007666,0.029844,1.112974,0.675576,0.14408144,0.1039473,0.0,0.0078247,0.00080859,1.202873,0.1,0.006258,0.050726,0.625,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_24,80,0.5,0,0.021635,0.085352,1.027084,0.63102,0.1401827,0.10531486,0.0,0.03559599,0.00077545,1.202873,0.1,0.02314,0.18209,0.5,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_25,80,0.6,0,0.01243,0.053362,1.136029,0.732672,0.14707337,0.10621942,0.0,0.01794785,0.00115191,1.202873,0.1,0.030532,0.207471,0.6,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_26,80,0.9125,0,0.002563,0.041068,1.153725,0.583535,0.14200691,0.10815464,0.0,0.0048034,0.00174171,1.202873,0.1,0.004618,0.084006,0.9125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_27,80,0.2625,0,0.033437,0.084669,0.945653,0.619617,0.13697531,0.10384042,0.0,0.02489759,0.00080518,1.202873,0.1,0.078259,0.63647,0.2625,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,0.675,0,0.016867,0.072974,1.126449,0.405183,0.14077444,0.10386978,0.0,0.03270686,0.00112939,1.202873,0.1,0.051238,0.439901,0.675,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_29,80,0.7375,0,0.011011,0.062998,1.106791,0.660042,0.13609155,0.10539655,0.0,0.01025639,0.00069913,1.202873,0.1,0.030266,0.262427,0.7375,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_3,80,0.5625,0,0.008576,0.032543,1.099924,0.72785,0.14584072,0.10793598,0.0,0.01417337,0.00131516,1.202873,0.1,0.009519,0.063854,0.5625,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_30,80,0.8,0,0.003158,0.029704,1.176991,0.660624,0.14769708,0.10650923,0.0,0.00971992,0.00078568,1.202873,0.1,0.009705,0.219564,0.8,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_31,80,0.4375,0,0.023431,0.073857,0.945745,0.399861,0.13816553,0.10409936,0.0,0.05400243,0.00071261,1.202873,0.1,0.096276,1.074834,0.4375,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_32,80,0.9,0,0.001649,0.018102,1.210206,0.824653,0.15293673,0.10915355,0.0,0.00862259,0.00067998,1.202873,0.1,0.00179,0.026726,0.9,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_33,80,0.375,0,0.024437,0.082638,1.022123,0.69881,0.14332934,0.11411445,0.0,0.01759005,0.00149319,1.202873,0.1,0.039759,0.183749,0.375,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_34,80,0.3375,0,0.034243,0.074987,0.985419,0.683408,0.1379193,0.10621005,0.0,0.02867135,0.00199661,1.202873,0.1,0.073166,0.319812,0.3375,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_35,80,0.6125,0,0.009543,0.04181,1.001103,0.562527,0.13993691,0.10868703,0.0,0.01136364,0.00052569,1.202873,0.1,0.021856,0.156058,0.6125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_36,80,0.9125,0,0.000921,0.006015,1.176144,0.79587,0.14630626,0.10954095,0.0,0.00743225,0.00070673,1.202873,0.1,0.001626,0.027816,0.9125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_37,80,0.6875,0,0.01052,0.058164,1.141207,0.560374,0.14220946,0.10505262,0.0,0.0314475,0.00060288,1.202873,0.1,0.047279,0.57999,0.6875,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_38,80,0.7,0,0.007677,0.043775,1.071565,0.524899,0.14382461,0.10745157,0.0,0.01263612,0.00072536,1.202873,0.1,0.011401,0.16901,0.7,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_39,80,0.65,0,0.006513,0.04104,1.221451,0.713127,0.14086534,0.10062799,0.0,0.00543843,0.0009793,1.202873,0.1,0.011787,0.168758,0.65,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_4,80,0.65,0,0.006306,0.032885,1.010602,0.528633,0.13697547,0.10609938,0.0,0.02427936,0.00136404,1.202873,0.1,0.027262,0.415834,0.65,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_40,80,0.325,0,0.032399,0.07559,0.957416,0.492417,0.13532216,0.10682337,0.0,0.05028572,0.00114156,1.202873,0.1,0.054866,0.283297,0.325,0
