sample,robot_name,q,armfoundry_position,mujoco_position,position_error
0,ur5e_true,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.817, -0.234, 0.063]","[-0.817, -0.234, 0.063]",0.0
1,ur5e_true,"[1.57199717, 4.99153956, 1.73213319, -3.45315087, -2.5111864, 4.69421455]","[0.05387321, -0.54293636, 0.49599807]","[0.05387321, -0.54293636, 0.49599807]",0.0
2,ur5e_true,"[-6.21702418, 4.03667837, 1.86648722, -0.40294157, -2.47516937, -2.78438796]","[-0.12100079, -0.06353494, 0.52553169]","[-0.12100079, -0.06353494, 0.52553169]",0.0
3,ur5e_true,"[-3.08040191, -0.69019201, 0.02857671, 0.67226806, 6.22664485, 3.67770089]","[0.61482039, 0.27194701, 0.57449882]","[0.61482039, 0.27194701, 0.57449882]",0.0
4,ur5e_true,"[1.53535063, 6.14445902, -1.78871545, -4.2699047, 1.41421543, -5.73099803]","[0.13624997, -0.37896307, 0.4810022]","[0.13624997, -0.37896307, 0.4810022]",0.0
5,ur5e_true,"[-5.83481806, 0.18709857, -0.21232754, 5.24228876, 1.62390622, 0.17740771]","[-0.79605351, -0.52574302, 0.13289294]","[-0.79605351, -0.52574302, 0.13289294]",0.0
6,ur5e_true,"[-0.0392896, -3.17282343, -3.06739814, -3.86539155, 2.4131486, -3.76228968]","[0.14538102, -0.06513965, 0.16869465]","[0.14538102, -0.06513965, 0.16869465]",0.0
7,ur5e_true,"[-1.6394563, -6.2362641, 2.07368989, -4.34217336, -2.92043545, 4.77939837]","[-0.01490681, 0.3143147, -0.14803478]","[-0.01490681, 0.3143147, -0.14803478]",0.0
8,ur5e_true,"[0.12303504, 4.36242191, 0.87784296, 3.0381856, -5.13342146, 0.51702889]","[0.09785999, -0.16410093, 0.85889491]","[0.09785999, -0.16410093, 0.85889491]",0.0
9,ur5e_true,"[0.09766887, 4.66639172, -0.87167792, 1.2338183, -5.53861135, -1.41206149]","[0.23396635, -0.18560732, 0.85907357]","[0.23396635, -0.18560732, 0.85907357]",0.0
10,ur5e_true,"[-2.22379252, -4.39572313, 1.98755231, -1.51492522, 6.01612784, 1.13086981]","[-0.47179562, -0.23746527, 0.11111523]","[-0.47179562, -0.23746527, 0.11111523]",0.0
