robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,80,1.0,1,0.00028,0.001885,1.766315,1.356242,0.11095077,0.07136808,0.0,0.99500901,0.00082447,1.620531,0.1,0.001158,0.020454,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,80,1.0,1,0.000341,0.00182,1.852653,1.327529,0.11857989,0.06844431,0.0,1.99000788,0.00069271,1.620531,0.1,0.002609,0.059364,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,80,1.0,1,0.000316,0.001941,1.685001,1.335049,0.11171173,0.06781632,0.0,0.49782305,0.00019268,1.620531,0.1,0.001033,0.021607,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,80,1.0,1,0.000259,0.001661,1.746006,1.332773,0.1139521,0.07308824,0.0,0.49745885,0.00047786,1.620531,0.1,0.002103,0.038051,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,80,1.0,1,0.000289,0.001995,1.729151,1.324464,0.11583485,0.06940046,0.0,1.99302135,0.00027622,1.620531,0.1,0.003425,0.081593,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,1.0,1,0.000389,0.001987,1.776137,1.321645,0.1112576,0.07064713,0.0,0.99761624,0.00041924,1.620531,0.1,0.004215,0.04144,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,80,1.0,1,0.000415,0.001825,1.936322,1.345549,0.12192863,0.07092867,0.0,3.96736654,0.00062333,1.620531,0.1,0.003459,0.041428,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,1.0,1,0.000344,0.001572,1.742222,1.329706,0.11816638,0.07039729,0.0,1.98798355,0.00048001,1.620531,0.1,0.004031,0.05241,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,80,1.0,1,0.000367,0.001968,1.933599,1.333744,0.12284582,0.07139651,0.0,2.98774003,0.00040277,1.620531,0.1,0.001046,0.042054,1.0,1
ur5e_true_robotiq2f85_tcp_proxy,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,80,1.0,1,0.000369,0.001557,1.797254,1.280817,0.11795552,0.06669405,0.0,1.49817214,9.828e-05,1.620531,0.1,0.001733,0.053281,1.0,1
