robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,80,0.9875,0,0.001345,0.093779,1.268308,0.598289,0.13164304,0.05912509,0.0,0.00047733,0.00153459,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,80,0.9875,0,0.001847,0.133378,1.338661,0.455468,0.13822936,0.0447887,0.0,0.00056422,0.00185324,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,80,0.9875,0,0.002295,0.165806,1.292649,0.385454,0.13649819,0.03658447,0.0,0.00051675,0.00146833,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,80,0.9875,0,0.00205,0.151666,1.307441,0.476755,0.13543593,0.04562141,0.0,0.00043423,0.00144858,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,80,0.9875,0,0.001944,0.139534,1.318686,0.4472,0.13799817,0.04392843,0.0,0.00047631,0.00142212,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,0.9875,0,0.001911,0.128779,1.251149,0.478694,0.13167894,0.04764506,0.0,0.00044689,0.00225186,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,80,0.9875,0,0.001878,0.129699,1.400689,0.52654,0.13913301,0.0495745,0.0,0.00063348,0.00123677,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,0.9875,0,0.00196,0.137039,1.390311,0.508405,0.13800756,0.04730198,0.0,0.00069094,0.0013639,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,80,0.9875,0,0.002351,0.168366,1.400496,0.446189,0.14074576,0.0401709,0.0,0.00093905,0.00108343,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,80,0.9875,0,0.002412,0.174201,1.356675,0.390893,0.13914215,0.03487542,0.0,0.00091531,0.00113775,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_18,80,0.9875,0,0.002089,0.15844,1.331821,0.420632,0.13708565,0.04032551,0.0,0.0004491,0.00180963,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,0.9875,0,0.001594,0.114485,1.229919,0.523543,0.12962138,0.05275391,0.0,0.00042493,0.0017764,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_2,80,0.9875,0,0.002289,0.166348,1.393877,0.441126,0.14130999,0.04044728,0.0,0.00069825,0.00119722,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_20,80,0.9875,0,0.002499,0.187012,1.305984,0.353583,0.13821005,0.03383489,0.0,0.00043469,0.00136066,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_21,80,0.9875,0,0.002153,0.161157,1.292407,0.405794,0.13550246,0.03830565,0.0,0.00047206,0.00153968,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_22,80,0.9875,0,0.001667,0.121383,1.283704,0.469478,0.13291295,0.04660739,0.0,0.00053821,0.00225638,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,0.9875,0,0.002102,0.154039,1.352622,0.454591,0.13624629,0.04117432,0.0,0.00060887,0.00143062,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_24,80,0.9875,0,0.002297,0.16547,1.416774,0.433295,0.13910597,0.03960721,0.0,0.00072871,0.00165344,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_25,80,0.9875,0,0.001834,0.129964,1.381217,0.506031,0.1392743,0.04847844,0.0,0.0009694,0.00123058,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_26,80,0.9875,0,0.00183,0.133901,1.321245,0.516694,0.13412293,0.04898392,0.0,0.0004729,0.00191102,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_27,80,0.9875,0,0.001815,0.132608,1.4055,0.484012,0.14057516,0.04613393,0.0,0.00059483,0.00129655,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,0.9875,0,0.00197,0.134316,1.338176,0.460012,0.13804144,0.04490047,0.0,0.00092968,0.00153078,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_29,80,0.9875,0,0.002057,0.150978,1.316675,0.436769,0.13786442,0.04202302,0.0,0.00047661,0.00137116,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_3,80,0.9875,0,0.002095,0.151991,1.39619,0.501203,0.13663755,0.04545763,0.0,0.00061384,0.00142659,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_30,80,0.9875,0,0.002062,0.1496,1.372388,0.465026,0.1395364,0.04371584,0.0,0.00047069,0.00125573,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_31,80,0.9875,0,0.002045,0.141135,1.398473,0.493694,0.14001492,0.04475827,0.0,0.00096669,0.00082838,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_32,80,0.9875,0,0.002173,0.155674,1.403721,0.478972,0.14200666,0.04434229,0.0,0.00072773,0.00082012,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_33,80,0.9875,0,0.001627,0.114749,1.362459,0.544395,0.13811617,0.05491794,0.0,0.00051943,0.00158678,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_34,80,0.9875,0,0.001896,0.138538,1.440344,0.495619,0.14067914,0.04657775,0.0,0.00072246,0.00143047,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_35,80,0.9875,0,0.002171,0.156332,1.345585,0.430794,0.13978044,0.04201141,0.0,0.00051811,0.00124123,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_36,80,0.9875,0,0.002203,0.161561,1.297214,0.431129,0.13655619,0.04149474,0.0,0.00040243,0.00146753,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_37,80,0.9875,0,0.002358,0.176483,1.312827,0.401556,0.13681602,0.0359511,0.0,0.00050813,0.00118269,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_38,80,0.9875,0,0.002132,0.158524,1.349667,0.428026,0.1394191,0.04121142,0.0,0.00056234,0.00140917,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_39,80,0.9875,0,0.002071,0.149549,1.268098,0.413767,0.13079643,0.03926121,0.0,0.00061229,0.00238542,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_4,80,0.9875,0,0.001931,0.134163,1.32876,0.474366,0.13734202,0.04643918,0.0,0.00052148,0.00194034,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_40,80,0.9875,0,0.001934,0.145507,1.390938,0.464716,0.14043146,0.0448753,0.0,0.00054422,0.00169003,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_41,80,0.9875,0,0.002007,0.144203,1.436082,0.459621,0.14210297,0.04550062,0.0,0.00070399,0.0017123,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_42,80,0.9875,0,0.001508,0.108147,1.3138,0.546758,0.13689215,0.05516837,0.0,0.00055409,0.00147857,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_43,80,0.9875,0,0.00276,0.206391,1.267703,0.335409,0.13224815,0.02980012,0.0,0.00056144,0.00205229,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_44,80,0.9875,0,0.00214,0.156284,1.317481,0.435628,0.13488192,0.03892228,0.0,0.00051914,0.00135084,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_45,80,0.9875,0,0.002208,0.16497,1.406355,0.406862,0.14108696,0.037374,0.0,0.00069693,0.00137307,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_46,80,0.9875,0,0.00265,0.197277,1.246,0.321661,0.13161146,0.03057111,0.0,0.00044155,0.00155262,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_47,80,0.9875,0,0.002436,0.177461,1.325837,0.36794,0.13857668,0.03531008,0.0,0.00046346,0.00158523,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_48,80,0.9875,0,0.002513,0.181833,1.436593,0.417758,0.14385988,0.03817361,0.0,0.00058746,0.001126,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_49,80,0.9875,0,0.001806,0.136686,1.326717,0.465822,0.13539144,0.04405701,0.0,0.00043757,0.00193485,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_5,80,0.9875,0,0.002079,0.146021,1.265846,0.463512,0.13183323,0.04349411,0.0,0.00049248,0.00188553,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_6,80,0.9875,0,0.002058,0.152551,1.339822,0.412087,0.13919617,0.04006583,0.0,0.00048949,0.00158675,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_7,80,0.9875,0,0.00163,0.109249,1.293374,0.524926,0.13367978,0.05096155,0.0,0.00052696,0.00168711,1.464731
ur5e_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_8,80,0.9875,0,0.001822,0.132412,1.433888,0.486588,0.14154066,0.04569142,0.0,0.00063253,0.00120869,1.464731
