sample,robot_name,q,armfoundry_position,mujoco_position,position_error
0,xarm6_true,"[0.0, 0.0177, -1.86751, 0.0, 0.72431135, 0.0]","[0.64194061, 8.6e-07, 0.67206175]","[0.64194061, 8.6e-07, 0.67206175]",0.0
1,xarm6_true,"[1.57199599, 1.6674878, -0.73196616, -3.45314829, -0.24179728, 4.69421103]","[0.04263682, -0.22526945, -0.11763359]","[0.04263682, -0.22526945, -0.11763359]",0.0
2,xarm6_true,"[-6.21701953, 1.35189011, -0.64388696, -0.40294127, -0.22794073, -2.78438587]","[0.05681432, 0.05674449, -0.30069625]","[0.05681432, 0.05674449, -0.30069625]",0.0
3,xarm6_true,"[-3.08039961, -0.21042007, -1.84877581, 0.67226755, 3.11983854, 3.67769814]","[-0.04978234, -0.05410939, 0.60358863]","[-0.04978234, -0.05410939, 0.60358863]",0.0
4,xarm6_true,"[1.53534948, 2.04854708, -3.04014778, -4.26990151, 1.26839112, -5.73099374]","[-0.1852565, 0.74678563, -0.03357611]","[-0.1852565, 0.74678563, -0.03357611]",0.0
5,xarm6_true,"[-5.83481369, 0.07953923, -2.00670671, 5.24228484, 1.34906378, 0.17740758]","[0.57683829, 0.04222872, 0.66859037]","[0.57683829, 0.04222872, 0.66859037]",0.0
6,xarm6_true,"[-0.03928957, -1.03097152, -3.87842064, -3.86538865, 1.65270268, -3.76228686]","[-0.54215862, 0.20311337, 0.10399508]","[-0.54215862, 0.20311337, 0.10399508]",0.0
7,xarm6_true,"[-1.63945507, -2.0434902, -0.50805, -4.34217011, -0.39924438, 4.7793948]","[-0.16391761, -0.01124497, 0.65905455]","[-0.16391761, -0.01124497, 0.65905455]",0.0
8,xarm6_true,"[0.12303495, 1.45955383, -1.29201778, 3.03818332, -1.25062876, 0.51702851]","[0.03532124, -0.02467801, -0.0712447]","[0.03532124, -0.02467801, -0.0712447]",0.0
9,xarm6_true,"[0.0976688, 1.56002097, -2.43896057, 1.23381738, -1.40651422, -1.41206043]","[0.65553809, -0.19920913, 0.1482449]","[0.65553809, -0.19920913, 0.1482449]",0.0
10,xarm6_true,"[-2.22379086, -1.43516045, -0.56451968, -1.51492409, 3.03884801, 1.13086897]","[0.05746293, 0.24469259, 0.45811774]","[0.05746293, 0.24469259, 0.45811774]",0.0
11,xarm6_true,"[1.32017582, 0.590855, -1.14071497, -4.38832717, 0.43575306, -3.27273577]","[0.10887033, 0.59590804, -0.00589041]","[0.10887033, 0.59590804, -0.00589041]",0.0
12,xarm6_true,"[-1.22524252, -1.65734922, 0.05946439, -3.58136489, 1.5547208, -2.50799522]","[0.14990833, -0.07988434, 0.6268077]","[0.14990833, -0.07988434, 0.6268077]",0.0
13,xarm6_true,"[4.70079054, 0.69144269, -3.38487709, 4.3363318, 2.87544118, 5.07576805]","[-0.13573304, -0.14813729, 0.60134643]","[-0.13573304, -0.14813729, 0.60134643]",0.0
14,xarm6_true,"[0.87611665, -1.45484663, -3.13424671, 5.37722142, 0.97728704, -4.01429569]","[-0.41831999, -0.72394951, 0.45502077]","[-0.41831999, -0.72394951, 0.45502077]",0.0
15,xarm6_true,"[4.82620126, 0.60570392, -1.58044068, -1.5546129, 0.29381908, -3.2736751]","[0.08165211, -0.75978679, 0.18532206]","[0.08165211, -0.75978679, 0.18532206]",0.0
16,xarm6_true,"[-5.80494333, 1.5802872, -2.00042859, 0.59860157, -0.13545128, 3.15824208]","[0.63547346, 0.25856211, -0.26666912]","[0.63547346, 0.25856211, -0.26666912]",0.0
17,xarm6_true,"[-5.96655208, -0.51316569, -3.80198774, -4.7388776, 2.98276878, 1.9824798]","[-0.23029173, 0.04824061, 0.50692268]","[-0.23029173, 0.04824061, 0.50692268]",0.0
18,xarm6_true,"[-0.90201099, 0.11630216, -0.33191633, -1.95770649, 1.16082877, 2.30824591]","[0.06147507, -0.40103071, 0.07003032]","[0.06147507, -0.40103071, 0.07003032]",0.0
19,xarm6_true,"[-1.81692406, 0.09702365, -0.77496133, 5.1418989, -0.96264995, 5.44650871]","[0.1113891, -0.54243277, 0.32469883]","[0.1113891, -0.54243277, 0.32469883]",0.0
20,xarm6_true,"[-6.21810575, 1.06841676, -0.5884562, -4.56455754, 0.33224597, 3.96162722]","[0.05777158, 0.01951732, -0.23111329]","[0.05777158, 0.01951732, -0.23111329]",0.0
21,xarm6_true,"[-6.10384824, 0.55125385, -0.66055141, 0.16340784, 1.81619453, -3.4378639]","[0.02717372, 0.05111981, 0.11093968]","[0.02717372, 0.05111981, 0.11093968]",0.0
22,xarm6_true,"[-3.78849498, -0.55078852, -3.18803016, -1.93444901, 2.89079522, 0.92152611]","[0.29081672, -0.055243, 0.54909563]","[0.29081672, -0.055243, 0.54909563]",0.0
23,xarm6_true,"[-2.00976394, -0.93124964, -0.00556838, -0.69770739, 3.04680989, 0.19506361]","[-0.0034051, 0.14560163, 0.43122228]","[-0.0034051, 0.14560163, 0.43122228]",0.0
24,xarm6_true,"[0.26598142, 1.66469141, -0.86755586, 1.01351378, 0.36969378, 4.7524488]","[-0.12303472, -0.01035938, -0.29219646]","[-0.12303472, -0.01035938, -0.29219646]",0.0
25,xarm6_true,"[-1.11028722, 1.77358962, -3.64396284, -0.87968538, 0.81865697, 5.66665648]","[0.26824916, -0.79129382, 0.31503067]","[0.26824916, -0.79129382, 0.31503067]",0.0
26,xarm6_true,"[-3.12903575, 1.28880299, -1.14062866, 2.72798193, 1.35097792, 5.92580662]","[-0.51609248, -0.10534034, -0.22002901]","[-0.51609248, -0.10534034, -0.22002901]",0.0
27,xarm6_true,"[-2.10258679, -0.40480229, -3.09121055, -5.64601935, -0.66365198, 5.22087959]","[0.12862281, 0.48327075, 0.93579806]","[0.12862281, 0.48327075, 0.93579806]",0.0
28,xarm6_true,"[4.27468742, -1.59213399, -1.44004627, -0.26142455, 1.18207129, 2.00150876]","[-0.01125055, 0.11018245, 0.81136555]","[-0.01125055, 0.11018245, 0.81136555]",0.0
