robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success_rate,group,candidate_index,candidate_kind,reference_base_x,reference_base_y,reference_base_z,reference_base_yaw,base_x,base_y,base_z,base_yaw,dx_from_reference,dy_from_reference,dz_from_reference,yaw_delta_from_reference,stage,split
xarm6_true,180,14400,0.186875,0.0,0.053818,0.197185,0.765289,0.0,0.11639955,0.0297311,0.0,0.02250242,4.148e-05,1.202873,0.1,0.16651,1.675398,0.186875,0.0,global,0,reference_base,-0.64,0.0,0.608,0.0,-0.64,0.0,0.608,0.0,0.0,0.0,0.0,0.0,search,train_search
xarm6_true,180,14400,0.57375,0.077778,0.026313,0.203533,0.775158,0.0,0.09251419,0.00868237,0.0,0.07701611,0.00120436,1.202873,0.1,0.031429,1.267669,0.57375,0.077778,global,1,random_00,-0.64,0.0,0.608,0.0,-0.35778,-0.302625,0.677092,-0.038437,0.28222,-0.302625,0.069092,-0.038437,search,train_search
xarm6_true,180,14400,0.285208,0.0,0.122987,0.38706,0.880648,0.0,0.11095118,0.01127094,0.0,0.02276266,0.0,1.202873,0.1,0.143833,2.127808,0.285208,0.0,global,2,random_01,-0.64,0.0,0.608,0.0,-0.515801,-0.322239,0.428484,-0.452858,0.124199,-0.322239,-0.179516,-0.452858,search,train_search
xarm6_true,180,14400,0.880278,0.466667,0.003992,0.122021,0.828806,0.0,0.07271744,0.00774534,0.0,0.40239526,0.00132321,1.202873,0.1,0.008567,0.423301,0.880278,0.466667,global,3,random_02,-0.64,0.0,0.608,0.0,-0.304931,-0.138489,0.644111,0.677363,0.335069,-0.138489,0.036111,0.677363,search,train_search
xarm6_true,180,14400,0.348403,0.0,0.042823,0.239551,0.765731,0.0,0.10078868,0.01918894,0.0,0.03395185,8.249e-05,1.202873,0.1,0.056175,1.353922,0.348403,0.0,global,4,random_03,-0.64,0.0,0.608,0.0,-0.49644,-0.202976,0.577757,-0.55476,0.14356,-0.202976,-0.030243,-0.55476,search,train_search
xarm6_true,180,14400,0.042917,0.0,0.159404,0.386402,0.879635,0.0,0.1414704,0.0482158,0.0,0.00697069,0.0,1.202873,0.1,0.510832,2.352925,0.042917,0.0,global,5,random_04,-0.64,0.0,0.608,0.0,-0.7906,-0.138441,0.415728,0.479457,-0.1506,-0.138441,-0.192272,0.479457,search,train_search
xarm6_true,180,14400,0.834514,0.438889,0.00664,0.133714,0.827364,0.0,0.07282245,0.01368304,0.0,0.10330332,0.00122201,1.202873,0.1,0.011728,0.396682,0.834514,0.438889,global,6,random_05,-0.64,0.0,0.608,0.0,-0.362166,0.012321,0.662163,0.133453,0.277834,0.012321,0.054163,0.133453,search,train_search
xarm6_true,180,14400,0.397083,0.0,0.046931,0.257399,0.807882,0.0,0.11012693,0.03000008,0.0,0.03012718,0.00011778,1.202873,0.1,0.11705,1.175031,0.397083,0.0,global,7,random_06,-0.64,0.0,0.608,0.0,-0.527156,0.346086,0.639077,-0.501366,0.112844,0.346086,0.031077,-0.501366,search,train_search
xarm6_true,180,14400,0.573611,0.422222,0.037187,0.267308,0.808739,0.0,0.08970351,0.03387095,0.0,0.02121202,0.00110129,1.202873,0.1,0.049171,0.819795,0.573611,0.422222,global,8,random_07,-0.64,0.0,0.608,0.0,-0.505021,0.133341,0.749675,0.251854,0.134979,0.133341,0.141675,0.251854,search,train_search
xarm6_true,180,14400,0.0,0.0,0.184839,0.367411,0.774657,0.0,0.13110631,0.03050963,0.0,0.0,0.0,1.202873,0.1,0.392469,2.247739,0.0,0.0,global,9,random_08,-0.64,0.0,0.608,0.0,-0.763573,-0.321453,0.587201,0.179508,-0.123573,-0.321453,-0.020799,0.179508,search,train_search
xarm6_true,180,14400,0.706319,0.283333,0.015953,0.156805,0.858381,0.0,0.09312548,0.03101558,0.0,0.03489387,0.00055351,1.202873,0.1,0.02916,0.616416,0.706319,0.283333,global,10,random_09,-0.64,0.0,0.608,0.0,-0.476095,0.119809,0.647181,0.146581,0.163905,0.119809,0.039181,0.146581,search,train_search
xarm6_true,180,14400,0.003194,0.0,0.197673,0.383317,0.761557,0.0,0.12791,0.0350257,0.0,0.00153294,0.0,1.202873,0.1,0.239348,2.061691,0.003194,0.0,global,11,random_10,-0.64,0.0,0.608,0.0,-0.826677,-0.075166,0.575093,-0.641683,-0.186677,-0.075166,-0.032907,-0.641683,search,train_search
xarm6_true,180,14400,0.571319,0.383333,0.041287,0.264267,0.76366,0.0,0.08348787,0.01746517,0.0,0.07559412,0.00176957,1.202873,0.1,0.043857,0.813508,0.571319,0.383333,global,12,random_11,-0.64,0.0,0.608,0.0,-0.323331,-0.291456,0.796101,0.409616,0.316669,-0.291456,0.188101,0.409616,search,train_search
xarm6_true,180,14400,0.000417,0.0,0.166786,0.317946,0.847396,0.0,0.13814807,0.03911559,0.0,4.412e-05,0.0,1.202873,0.1,0.487484,2.321275,0.000417,0.0,global,13,random_12,-0.64,0.0,0.608,0.0,-0.834408,-0.096038,0.50716,0.166506,-0.194408,-0.096038,-0.10084,0.166506,search,train_search
xarm6_true,180,14400,0.0,0.0,0.28075,0.478688,0.714527,0.0,0.12859776,0.02510835,0.0,0.0,4.536e-05,1.202873,0.1,0.372699,2.171918,0.0,0.0,global,14,random_13,-0.64,0.0,0.608,0.0,-0.968154,-0.052623,0.709406,-0.062399,-0.328154,-0.052623,0.101406,-0.062399,search,train_search
xarm6_true,180,14400,0.466181,0.044444,0.030157,0.188222,0.776651,0.0,0.10233371,0.03077843,0.0,0.02203544,0.00055839,1.202873,0.1,0.060399,0.92492,0.466181,0.044444,global,15,random_14,-0.64,0.0,0.608,0.0,-0.55062,-0.050326,0.65912,0.509991,0.08938,-0.050326,0.05112,0.509991,search,train_search
xarm6_true,180,14400,0.506944,0.283333,0.052221,0.310239,0.801266,0.0,0.09681059,0.02788354,0.0,0.01435526,0.00071001,1.202873,0.1,0.06754,0.803566,0.506944,0.283333,global,16,random_15,-0.64,0.0,0.608,0.0,-0.517169,0.278203,0.744429,0.002886,0.122831,0.278203,0.136429,0.002886,search,train_search
xarm6_true,180,14400,0.102292,0.0,0.09163,0.294682,0.718456,0.0,0.11662092,0.01355008,0.0,0.01107098,0.00024998,1.202873,0.1,0.173929,1.261703,0.102292,0.0,global,17,random_16,-0.64,0.0,0.608,0.0,-0.698698,0.139384,0.680861,-0.255779,-0.058698,0.139384,0.072861,-0.255779,search,train_search
xarm6_true,180,14400,0.483194,0.277778,0.05924,0.29118,0.785227,0.0,0.09701335,0.02485949,0.0,0.00690565,0.00143729,1.202873,0.1,0.066176,0.977702,0.483194,0.277778,global,18,random_17,-0.64,0.0,0.608,0.0,-0.553077,-0.077088,0.799884,-0.373979,0.086923,-0.077088,0.191884,-0.373979,search,train_search
xarm6_true,180,14400,0.072222,0.0,0.094522,0.274762,0.77695,0.0,0.12509023,0.02805161,0.0,0.01481901,3e-08,1.202873,0.1,0.25152,1.781799,0.072222,0.0,global,19,random_18,-0.64,0.0,0.608,0.0,-0.696207,0.245663,0.597512,-0.333693,-0.056207,0.245663,-0.010488,-0.333693,search,train_search
xarm6_true,180,14400,0.025,0.0,0.175799,0.383067,0.733355,0.0,0.12651396,0.02606387,0.0,0.00651026,3.703e-05,1.202873,0.1,0.291733,1.856087,0.025,0.0,global,20,random_19,-0.64,0.0,0.608,0.0,-0.831508,0.157988,0.674495,-0.255292,-0.191508,0.157988,0.066495,-0.255292,search,train_search
xarm6_true,180,14400,0.054583,0.0,0.143764,0.363291,0.666344,0.0,0.11630432,0.0170861,0.0,0.00541131,0.00043969,1.202873,0.1,0.199304,1.349435,0.054583,0.0,global,21,random_20,-0.64,0.0,0.608,0.0,-0.772591,0.014791,0.755429,0.223324,-0.132591,0.014791,0.147429,0.223324,search,train_search
xarm6_true,180,14400,0.001597,0.0,0.271148,0.517133,0.654846,0.0,0.12340728,0.02416638,0.0,0.00043075,0.00028867,1.202873,0.1,0.313606,1.884684,0.001597,0.0,global,22,random_21,-0.64,0.0,0.608,0.0,-0.94974,0.088899,0.784798,-0.117083,-0.30974,0.088899,0.176798,-0.117083,search,train_search
xarm6_true,180,14400,0.647222,0.016667,0.024632,0.258502,0.94647,0.0,0.09126118,0.02454477,0.0,0.04270099,1e-08,1.202873,0.1,0.05793,0.896442,0.647222,0.016667,global,23,random_22,-0.64,0.0,0.608,0.0,-0.380155,0.2803,0.497024,-0.205186,0.259845,0.2803,-0.110976,-0.205186,search,train_search
xarm6_true,180,14400,0.014028,0.0,0.180664,0.362665,0.716507,0.0,0.12389548,0.02788168,0.0,0.00482601,1.691e-05,1.202873,0.1,0.276691,1.989515,0.014028,0.0,global,24,random_23,-0.64,0.0,0.608,0.0,-0.834898,-0.005629,0.680856,0.379459,-0.194898,-0.005629,0.072856,0.379459,search,train_search
xarm6_true,180,14400,0.0,0.0,0.322674,0.60539,0.875529,0.184514,0.14346871,0.08345048,0.0,0.0,0.0,1.202873,0.1,0.320522,1.806596,0.0,0.0,global,25,random_24,-0.64,0.0,0.608,0.0,-0.94493,0.299924,0.435526,0.588227,-0.30493,0.299924,-0.172474,0.588227,search,train_search
xarm6_true,180,14400,0.172292,0.0,0.177866,0.450402,0.874663,0.033811,0.12604525,0.04158587,0.0,0.00665671,0.0,1.202873,0.1,0.203969,2.194341,0.172292,0.0,global,26,random_25,-0.64,0.0,0.608,0.0,-0.656884,-0.302065,0.413002,-0.513598,-0.016884,-0.302065,-0.194998,-0.513598,search,train_search
xarm6_true,180,14400,0.0,0.0,0.304904,0.51472,0.769093,0.0,0.13393965,0.03032463,0.0,0.0,0.0,1.202873,0.1,0.423105,2.183151,0.0,0.0,global,27,random_26,-0.64,0.0,0.608,0.0,-0.980225,0.311663,0.642684,-0.364378,-0.340225,0.311663,0.034684,-0.364378,search,train_search
xarm6_true,180,14400,0.0,0.0,0.253243,0.419279,0.799875,0.0,0.13565812,0.03605533,0.0,0.0,0.0,1.202873,0.1,0.380623,2.673552,0.0,0.0,global,28,random_27,-0.64,0.0,0.608,0.0,-0.930363,0.038924,0.563961,-0.469353,-0.290363,0.038924,-0.044039,-0.469353,search,train_search
xarm6_true,180,14400,0.025972,0.0,0.179741,0.468215,0.859313,0.082406,0.1366722,0.06239852,0.0,0.01042612,0.0,1.202873,0.1,0.303797,1.978753,0.025972,0.0,global,29,random_28,-0.64,0.0,0.608,0.0,-0.787101,0.179506,0.422107,0.432407,-0.147101,0.179506,-0.185893,0.432407,search,train_search
xarm6_true,180,14400,0.670764,0.027778,0.032394,0.312162,0.925673,0.0,0.08191229,0.01592119,0.0,0.06126156,0.0,1.202873,0.1,0.032412,0.914426,0.670764,0.027778,global,30,random_29,-0.64,0.0,0.608,0.0,-0.349735,0.261529,0.456417,0.421058,0.290265,0.261529,-0.151583,0.421058,search,train_search
xarm6_true,180,14400,0.290417,0.0,0.097658,0.329472,0.869243,0.0,0.11075701,0.00973923,0.0,0.02941647,0.0,1.202873,0.1,0.157412,2.121646,0.290417,0.0,global,31,random_30,-0.64,0.0,0.608,0.0,-0.502529,-0.309301,0.465986,-0.15699,0.137471,-0.309301,-0.142014,-0.15699,search,train_search
