config,waypoint_index,success,position_error,orientation_error_rad,position_bad,orientation_bad,target_x,target_y,target_z
position_only_tcp_offset_0172,0,1,0.001868101,,0,0,-0.200270285,-0.011069408,1.18252192
position_only_tcp_offset_0172,1,1,0.000205876,,0,0,-0.189888532,-0.012816252,1.188945374
position_only_tcp_offset_0172,2,1,0.000336272,,0,0,-0.174300289,-0.018425554,1.196555538
position_only_tcp_offset_0172,3,1,0.001208342,,0,0,-0.144757553,-0.031774679,1.211174706
position_only_tcp_offset_0172,4,1,0.000579264,,0,0,-0.12382369,-0.041186133,1.221650447
position_only_tcp_offset_0172,5,1,0.000570877,,0,0,-0.10244955,-0.050413239,1.231610489
position_only_tcp_offset_0172,6,1,0.001105803,,0,0,-0.069317396,-0.063455038,1.243489471
position_only_tcp_offset_0172,7,1,0.000464258,,0,0,-0.04670997,-0.070510163,1.248003617
position_only_tcp_offset_0172,8,1,0.000939493,,0,0,-0.012868649,-0.078707415,1.250610509
position_only_tcp_offset_0172,9,1,0.000520168,,0,0,0.009018573,-0.083493864,1.250389012
position_only_tcp_offset_0172,10,1,0.000447468,,0,0,0.028181822,-0.087495545,1.249661883
position_only_tcp_offset_0172,11,1,0.000679521,,0,0,0.051368655,-0.092234817,1.250001942
position_only_tcp_offset_0172,12,1,0.000372308,,0,0,0.066169877,-0.095778209,1.249041299
position_only_tcp_offset_0172,13,1,0.000947993,,0,0,0.087631023,-0.102173833,1.236271522
position_only_tcp_offset_0172,14,1,0.000542698,,0,0,0.100571103,-0.105611097,1.222485662
position_only_tcp_offset_0172,15,1,0.000371905,,0,0,0.108513777,-0.108872277,1.207163254
position_only_tcp_offset_0172,16,1,0.000261058,,0,0,0.10797745,-0.112388921,1.188192895
position_only_tcp_offset_0172,17,1,8.0643e-05,,0,0,0.102612524,-0.114548977,1.179106313
position_only_tcp_offset_0172,18,1,0.000267129,,0,0,0.092675347,-0.118264362,1.164563985
position_only_tcp_offset_0172,19,1,0.000137639,,0,0,0.085743668,-0.120688599,1.153297186
position_only_tcp_offset_0172,20,1,0.00015846,,0,0,0.078998508,-0.122132484,1.140615245
position_only_tcp_offset_0172,21,1,0.000511086,,0,0,0.066205292,-0.123390461,1.119328987
position_only_tcp_offset_0172,22,1,0.000301817,,0,0,0.055460364,-0.124032171,1.103328504
position_only_tcp_offset_0172,23,1,0.000267835,,0,0,0.043107781,-0.127824735,1.090901367
position_only_tcp_offset_0172,24,1,1.4685e-05,,0,0,0.037980105,-0.128200369,1.088401461
position_only_tcp_offset_0172,25,1,4.793e-06,,0,0,0.036514038,-0.13024083,1.087748102
position_only_tcp_offset_0172,26,1,2.5829e-05,,0,0,0.036387152,-0.134969284,1.09231914
position_only_tcp_offset_0172,27,1,2.9637e-05,,0,0,0.039442809,-0.133073863,1.095374345
position_only_tcp_offset_0172,28,1,7.482e-05,,0,0,0.044630469,-0.130339497,1.100814413
position_only_tcp_offset_0172,29,1,0.000498558,,0,0,0.05618462,-0.12625482,1.121348086
position_only_tcp_offset_0172,30,1,0.000499585,,0,0,0.067826018,-0.123482079,1.140954905
position_only_tcp_offset_0172,31,1,0.001109572,,0,0,0.081929643,-0.117018875,1.174236465
position_only_tcp_offset_0172,32,1,0.000544368,,0,0,0.088195739,-0.105556024,1.19861519
position_only_tcp_offset_0172,33,1,0.000589154,,0,0,0.093851226,-0.089288255,1.222116256
position_only_tcp_offset_0172,34,1,0.001044964,,0,0,0.09831699,-0.060172171,1.249058195
position_only_tcp_offset_0172,35,1,0.00034361,,0,0,0.099690839,-0.039685505,1.259013206
position_only_tcp_offset_0172,36,1,0.000666011,,0,0,0.101340046,-0.008749437,1.266436722
position_only_tcp_offset_0172,37,1,0.000304095,,0,0,0.102074488,0.012299014,1.268185273
position_only_tcp_offset_0172,38,1,0.00031161,,0,0,0.102462133,0.033768544,1.268803903
position_only_tcp_offset_0172,39,1,0.000744599,,0,0,0.103123091,0.066652556,1.265187301
position_only_tcp_offset_0172,40,1,0.000367239,,0,0,0.104139586,0.088210107,1.260413767
position_only_tcp_offset_0172,41,1,0.000800322,,0,0,0.105025313,0.120058814,1.250172864
position_only_tcp_offset_0172,42,1,0.000448194,,0,0,0.105630357,0.141795404,1.239736613
position_only_tcp_offset_0172,43,1,0.000499125,,0,0,0.107235982,0.162064408,1.225274303
