robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,1.0,1,0.000311,0.001957,1.543074,1.428724,0.1466022,0.10595617,0.0,0.00045065,0.00154701,1.202873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,1.0,1,0.000239,0.001998,1.525026,1.391591,0.15145091,0.1055292,0.0,0.00073622,0.00132455,1.202873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,1.0,1,0.000175,0.001536,1.523165,1.435485,0.14464491,0.10671276,0.0,0.00042111,0.00131542,1.202873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,1.0,1,0.000158,0.001343,1.511882,1.41607,0.14915835,0.10352028,0.0,0.00061537,0.00117669,1.202873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,1.0,1,0.00027,0.001722,1.513726,1.387449,0.15027042,0.10345926,0.0,0.00092182,0.00122001,1.202873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_9,80,1.0,1,0.000216,0.00176,1.548204,1.433956,0.15127481,0.10692095,0.0,0.00063874,0.00084243,1.202873
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_18,80,1.0,1,0.000373,0.001487,1.57498,1.435399,0.13964254,0.10648774,0.0,0.0028105,0.00186088,1.202873
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_19,80,1.0,1,0.000489,0.00196,1.590793,1.410074,0.14325382,0.10261022,0.0,0.00299056,0.00158823,1.202873
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_31,80,1.0,1,0.000465,0.001802,1.587007,1.436903,0.14242308,0.1077905,0.0,0.00291977,0.00145168,1.202873
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_33,80,1.0,1,0.000438,0.001578,1.583857,1.409249,0.14070672,0.10267313,0.0,0.00324465,0.00206547,1.202873
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_41,80,1.0,1,0.000383,0.001301,1.591641,1.405216,0.14174564,0.10215052,0.0,0.00252194,0.00160514,1.202873
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_38,80,1.0,1,0.000182,0.001934,1.308778,1.09508,0.14877741,0.10516064,0.0,0.00137708,0.00069085,1.202873
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_42,80,1.0,1,0.000198,0.001906,1.257337,1.048363,0.14613407,0.10201847,0.0,0.00162273,0.00042398,1.202873
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_44,80,1.0,1,0.000209,0.001919,1.293208,1.097132,0.14961231,0.10876936,0.0,0.00149558,0.00052116,1.202873
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_48,80,1.0,1,0.000312,0.001971,1.322376,1.176985,0.14983818,0.10204474,0.0,0.00205632,0.00070416,1.202873
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_15,80,1.0,1,0.000205,0.001925,1.487409,1.266203,0.14070276,0.10322855,0.0,0.00074584,0.00122249,1.202873
