robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,0.55,0,0.004165,0.013376,1.019043,0.690658,0.13590962,0.10669128,0.0,0.01401738,0.00091441,1.202873,0.1,0.019549,0.071564,0.55,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,0.6125,0,0.008317,0.032171,1.122768,0.704076,0.14303088,0.10635265,0.0,0.01709496,0.0009956,1.202873,0.1,0.039414,0.201365,0.6125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,1.0,1,0.000361,0.001719,1.267736,1.010949,0.13953037,0.10837743,0.0,0.00350097,0.00080927,1.202873,0.1,0.002224,0.046375,1.0,1
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,0.6375,0,0.003778,0.014447,1.111682,0.6965,0.14473166,0.10394285,0.0,0.00756607,0.0008089,1.202873,0.1,0.017967,0.083328,0.6375,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,0.6875,0,0.01011,0.045875,1.123712,0.433491,0.14178605,0.10386514,0.0,0.03252918,0.00112864,1.202873,0.1,0.045613,0.236879,0.6875,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_9,80,0.8125,0,0.003165,0.020237,1.140969,0.794127,0.14756062,0.10851813,0.0,0.01015063,0.0006746,1.202873,0.1,0.014581,0.088836,0.8125,0
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_18,80,0.825,0,0.00385,0.029863,1.352365,1.043561,0.14038891,0.10749533,0.0,0.02235981,0.00245853,1.202873,0.1,0.018436,0.179974,0.825,0
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_19,80,0.6625,0,0.006293,0.038905,1.290768,0.866292,0.14061419,0.1029542,0.0,0.05651732,0.00251836,1.202873,0.1,0.029749,0.189716,0.6625,0
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_31,80,0.675,0,0.004342,0.015453,1.315361,0.969459,0.14034762,0.10978624,0.0,0.04177455,0.00230247,1.202873,0.1,0.018542,0.083746,0.675,0
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_33,80,0.6,0,0.004416,0.023329,1.246785,1.013906,0.13678105,0.10124333,0.0,0.0459258,0.00323982,1.202873,0.1,0.020861,0.125819,0.6,0
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_41,80,0.825,0,0.004509,0.029964,1.32596,1.056145,0.14137106,0.10259828,0.0,0.02187012,0.00270946,1.202873,0.1,0.022802,0.170091,0.825,0
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_38,80,0.9125,0,0.000948,0.00911,1.157988,0.854187,0.15672317,0.10595358,0.0,0.01044555,0.00061367,1.202873,0.1,0.003925,0.040306,0.9125,0
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_42,80,0.4875,0,0.007652,0.029284,0.902803,0.640016,0.15582765,0.10205118,0.0,0.01503609,0.00033378,1.202873,0.1,0.039266,0.16916,0.4875,0
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_44,80,0.2125,0,0.009476,0.024904,0.878152,0.674649,0.15666962,0.10981972,0.0,0.02341643,0.00046411,1.202873,0.1,0.046029,0.132367,0.2125,0
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_48,80,0.4875,0,0.007753,0.027541,0.908948,0.515205,0.15625175,0.10240222,0.0,0.06566765,0.00064819,1.202873,0.1,0.036518,0.141605,0.4875,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_15,80,0.75,0,0.004722,0.025243,1.305098,0.719805,0.14699699,0.1036156,0.0,0.00387935,0.00110853,1.202873,0.1,0.022029,0.110844,0.75,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_18,80,0.6125,0,0.010893,0.037194,1.214487,0.693114,0.14830086,0.10406465,0.0,0.00677525,0.00063891,1.202873,0.1,0.047557,0.166878,0.6125,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_20,80,0.6625,0,0.011886,0.053292,1.242812,0.754655,0.14470101,0.10571163,0.0,0.00398939,0.00122202,1.202873,0.1,0.058113,0.239573,0.6625,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_35,80,0.7,0,0.006638,0.034212,1.246454,0.711694,0.14589742,0.10315126,0.0,0.00460537,0.00120169,1.202873,0.1,0.027737,0.136202,0.7,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_7,80,0.75,0,0.004376,0.01955,1.309465,0.678236,0.14097089,0.10286987,0.0,0.00436577,0.00101994,1.202873,0.1,0.018359,0.089015,0.75,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_8,80,0.775,0,0.002704,0.016414,1.346554,0.70423,0.14419012,0.10796266,0.0,0.00487552,0.00075435,1.202873,0.1,0.012677,0.080102,0.775,0
xarm6_true,libero_goal,put_the_bowl_on_the_stove_demo,demo_26,80,1.0,1,0.000318,0.001637,1.535946,1.41817,0.12681841,0.10337591,0.0,0.00254108,0.00115266,1.202873,0.1,0.001949,0.035738,1.0,1
xarm6_true,libero_goal,put_the_bowl_on_the_stove_demo,demo_27,80,1.0,1,0.000305,0.001957,1.495505,1.148123,0.13737838,0.10640727,0.0,0.00461076,0.00121194,1.202873,0.1,0.001115,0.018226,1.0,1
xarm6_true,libero_goal,put_the_bowl_on_the_stove_demo,demo_29,80,1.0,1,0.000282,0.001849,1.53352,1.46027,0.12738755,0.10789887,0.0,0.00202747,0.00187374,1.202873,0.1,0.0008,0.01113,1.0,1
xarm6_true,libero_goal,put_the_bowl_on_the_stove_demo,demo_3,80,1.0,1,0.000377,0.001924,1.516733,1.403474,0.12815704,0.10118477,0.0,0.00270666,0.00069825,1.202873,0.1,0.00147,0.017174,1.0,1
xarm6_true,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo,demo_24,80,0.6375,0,0.017837,0.062023,1.338068,1.054338,0.14127527,0.10065624,0.0,0.00609431,0.00403259,1.202873,0.1,0.087541,0.318155,0.6375,0
xarm6_true,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo,demo_29,80,0.9,0,0.000992,0.014016,1.476712,1.105787,0.13857024,0.10680606,0.0,0.00263317,0.00300367,1.202873,0.1,0.004807,0.060668,0.9,0
xarm6_true,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo,demo_40,80,0.7125,0,0.002897,0.018955,1.379239,1.0999,0.13899025,0.10315611,0.0,0.00503206,0.00469226,1.202873,0.1,0.012949,0.076823,0.7125,0
xarm6_true,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo,demo_9,80,0.5,0,0.016797,0.046856,1.282143,1.01753,0.14959753,0.10827885,0.0,0.00709198,0.00626567,1.202873,0.1,0.086254,0.288185,0.5,0
xarm6_true,libero_goal,put_the_cream_cheese_in_the_bowl_demo,demo_13,80,1.0,1,0.000442,0.001959,1.358112,1.045317,0.15288889,0.10482346,0.0,0.00689418,0.00079093,1.202873,0.1,0.003244,0.06032,1.0,1
xarm6_true,libero_goal,put_the_cream_cheese_in_the_bowl_demo,demo_27,80,1.0,1,0.000457,0.001926,1.463101,1.326316,0.14670321,0.10060031,0.0,0.00398587,0.00099906,1.202873,0.1,0.003181,0.047284,1.0,1
