robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,1.0,1,0.000487,0.001981,1.091941,0.71666,0.07107562,0.05639781,0.0,0.00423312,0.0002762,1.030873,0.1,0.004395,0.042632,1.0,1
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,0.8125,0,0.006053,0.045373,1.003551,0.39358,0.06631077,0.04484326,0.0,0.02007084,0.0002248,1.030873,0.1,0.005477,0.052875,0.8125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,1.0,1,0.000238,0.001565,1.152404,0.827081,0.07236692,0.05532109,0.0,0.00263768,0.00019659,1.030873,0.1,0.001799,0.046048,1.0,1
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,0.8,0,0.002773,0.017914,0.985805,0.583353,0.06558263,0.04793357,0.0,0.00564626,0.00024693,1.030873,0.1,0.001382,0.017796,0.8,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,0.7125,0,0.007791,0.036134,0.971025,0.306796,0.0665777,0.04794296,0.0,0.02614724,0.00024404,1.030873,0.1,0.0203,0.284271,0.7125,0
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_9,80,0.9125,0,0.000897,0.006174,1.049643,0.43476,0.07293903,0.05075262,0.0,0.01943676,0.00013513,1.030873,0.1,0.002103,0.033849,0.9125,0
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_18,80,1.0,1,0.000543,0.001971,1.259502,1.053196,0.07777001,0.0635839,0.0,0.01066902,0.000207,1.030873,0.1,0.000403,0.010837,1.0,1
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_19,80,0.875,0,0.002714,0.031413,1.199073,0.804694,0.07571194,0.05735782,0.0,0.02073493,0.00023399,1.030873,0.1,0.002955,0.045586,0.875,0
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_31,80,1.0,1,0.000551,0.001963,1.258969,0.942522,0.078432,0.06483361,0.0,0.01362367,0.00010689,1.030873,0.1,0.000799,0.007069,1.0,1
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_33,80,1.0,1,0.000536,0.001952,1.225123,1.01746,0.07680136,0.06044061,0.0,0.01714682,0.00028152,1.030873,0.1,0.000743,0.012448,1.0,1
xarm6_true,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_41,80,1.0,1,0.000661,0.001871,1.256505,0.993272,0.07836106,0.06012574,0.0,0.01197378,0.00016382,1.030873,0.1,0.001541,0.035764,1.0,1
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_38,80,0.5125,0,0.014307,0.057893,0.682236,0.231786,0.0464986,0.02366729,0.0,0.0677016,0.0001818,1.030873,0.1,0.004193,0.022995,0.5125,0
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_42,80,0.2875,0,0.029675,0.081758,0.649003,0.418874,0.0495439,0.03432624,0.0,0.02180465,0.00014121,1.030873,0.1,0.016566,0.081451,0.2875,0
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_44,80,0.2875,0,0.02676,0.062047,0.671893,0.424244,0.05187826,0.03252673,0.0,0.02562895,0.00011599,1.030873,0.1,0.023682,0.191069,0.2875,0
xarm6_true,libero_goal,push_the_plate_to_the_front_of_the_stove_demo,demo_48,80,0.325,0,0.016693,0.042444,0.667467,0.406742,0.05299887,0.02951447,0.0,0.02817978,0.00021174,1.030873,0.1,0.012417,0.102958,0.325,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_15,80,0.775,0,0.005245,0.024702,1.045459,0.499444,0.07246903,0.05114953,0.0,0.00602161,0.00035348,1.030873,0.1,0.003749,0.023282,0.775,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_18,80,0.65,0,0.012736,0.050695,0.968665,0.485749,0.06947738,0.04940639,0.0,0.00548306,0.00023459,1.030873,0.1,0.011963,0.059005,0.65,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_20,80,0.7125,0,0.012034,0.052393,1.014683,0.526559,0.07125526,0.05318039,0.0,0.00433057,0.00035223,1.030873,0.1,0.024248,0.163812,0.7125,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_35,80,0.7375,0,0.004967,0.027998,1.007574,0.496875,0.07134691,0.05252647,0.0,0.00537781,0.00041692,1.030873,0.1,0.003556,0.029781,0.7375,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_7,80,0.8,0,0.004405,0.023109,1.05644,0.4662,0.07158438,0.04891025,0.0,0.0050867,0.00041398,1.030873,0.1,0.003292,0.016169,0.8,0
xarm6_true,libero_goal,put_the_bowl_on_the_plate_demo,demo_8,80,0.7875,0,0.002933,0.016097,1.05926,0.469944,0.07252145,0.04859482,0.0,0.00433915,0.00020702,1.030873,0.1,0.004433,0.06055,0.7875,0
xarm6_true,libero_goal,put_the_bowl_on_the_stove_demo,demo_26,80,1.0,1,0.000307,0.001711,1.279863,1.085797,0.07518807,0.06069183,0.0,0.0024576,0.00029211,1.030873,0.1,0.001679,0.035381,1.0,1
