robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,80,1.0,1,0.000205,0.001849,1.24325,1.034548,0.07926329,0.06386696,0.0,0.00092983,0.00024534,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,80,1.0,1,0.000262,0.001829,1.154848,0.875326,0.07125504,0.05815082,0.0,0.00127258,0.00026177,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,80,1.0,1,0.000228,0.001928,1.185395,0.916027,0.07607327,0.06190186,0.0,0.00106585,0.00017552,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,80,1.0,1,0.0002,0.001693,1.175422,0.834434,0.07335803,0.05180474,0.0,0.00097007,0.00018331,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,80,1.0,1,0.000242,0.001984,1.160649,0.891602,0.0741593,0.05858415,0.0,0.00095257,0.00018651,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,1.0,1,0.000327,0.001969,1.226612,0.94665,0.0758372,0.06389172,0.0,0.00096698,0.00027597,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,80,1.0,1,0.000331,0.00199,1.148185,0.832159,0.0698288,0.04049479,0.0,0.00165517,0.00020506,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,0.9625,0,0.000597,0.005258,1.105896,0.556868,0.06584056,5e-08,0.05,0.00400234,0.00021268,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,80,1.0,1,0.000301,0.00183,1.146468,0.911836,0.07232826,0.05817979,0.0,0.00205154,0.00014475,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,80,1.0,1,0.000286,0.001734,1.105113,0.9302,0.07225358,0.05884252,0.0,0.00186647,0.00022036,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_18,80,1.0,1,0.000183,0.001084,1.11872,0.695068,0.06590512,0.03028403,0.0,0.00113912,0.00021534,1.030873
xarm6_true,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,1.0,1,0.000208,0.001818,1.201357,0.893294,0.07499296,0.05909597,0.0,0.00091284,0.00021259,1.030873
